"(Today, which ONE of the following do you think is the world's leading economic power?)...Do you think this is a good thing or a bad thing? [1284]",,,,,,,,,,,,,,,,
Country,Survey,Good,Bad,Neither (VOL),United States,The United States,China,Japan,The countries of the European Union,Other (VOL),Other (DO NOT READ),None / There is no leading economic power (VOL),None/There is no leading economic power (DO NOT READ),DK/Refused,,
,Spring 2019,0,0,0,0,43,28,7,13,0,1,0,3,5,,
,Spring 2016,0,0,0,37,0,31,7,11,0,0,6,0,9,,
,Spring 2011,64,9,13,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,15,48,15,7,0,3,0,0,11,,
,Spring 2011,25,29,35,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
S. Africa,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,36,33,9,11,0,0,0,1,10,,
,,,,,,,,,,,,,,,,
S. Korea,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,82,12,1,3,0,1,0,0,1,,
,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,39,27,6,13,0,2,0,6,7,,
,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,38,44,10,6,0,0,0,0,1,,
,Spring 2016,0,0,0,40,0,39,8,8,1,0,1,0,3,,
,Spring 2011,47,35,11,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,37,43,5,9,0,0,0,0,5,,
,Spring 2016,0,0,0,46,0,39,5,8,0,0,1,0,1,,
,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,47,22,10,9,0,1,0,1,10,,
,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,49,19,6,13,0,1,0,2,11,,
,Spring 2011,9,77,3,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,41,19,11,13,0,3,0,3,11,,
,Spring 2011,40,17,35,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,
,Spring 2019,0,0,0,0,50,32,7,6,0,1,0,1,4,,
,Spring 2011,89,6,2,0,0,0,0,0,0,0,0,0,0,,
Source:  Pew Global Attitudes & Trends Question Database,,,,,,,,,,,,,,,,
